text,emotion
i seriously hate one subject to death but now i feel reluctant to drop it,fear
im so full of life i feel appalled,anger
i sit here to write i start to dig out my feelings and i think that i am afraid to accept the possibility that he might not make it,fear
ive been really angry with r and i feel like an idiot for trusting him in the first place,joy
i feel suspicious if there is no one outside like the rapture has happened or something,fear
i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,anger
when a friend of mine keeps telling me morbid things that happened to his dog,anger
i finally fell asleep feeling angry useless and still full of anxiety,anger
i feel a bit annoyed and antsy in a good way,anger
i feel like i ve regained another vital part of my life which is living,joy
i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer,joy
i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,joy
i was bitten by a dog,fear
i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,joy
i just try not to talk to anyone when i feel irritable like that,anger
i feel like they hated me since then,anger
i dont know who wrote the following little note but this is how i feel today if u r offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe,anger
i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,anger
i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,joy
i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,fear
i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,fear
i feel much better and without the help of ice,joy
i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,anger
i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,fear
i stropped about for a bit feeling grumpy because i was missing out,anger
i have a feeling i shall go mad,anger
i am happpy when i get good results in the field of academics or athletics,joy
i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,joy
im feeling deeply overwhelmed by these ordinary tasks,fear
i feel so grouchy and irritable when im sick,anger
i feel my heart shaky all the time now,fear
i expect and i feel content with that,joy
i feel amused at the absurdity of it all,joy
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger
i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,joy
im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,joy
i would feel joyful,joy
at a certain situation i felt myself neglected and undeservedly harmed,anger
i felt good and feel fine today too,joy
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger
im feeling slightly optimistic,joy
i feel and some is just a hateful of hollow yes i hear many smiths these days,anger
im still feeling indecisive im polling yall p,fear
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger
id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger
i just feel so fucked up these days,anger
i confess that i was feeling nervous as i made my way to the event venue,fear
i was really worried that i would feel intimidated by monica but when we met that morning she was incredibly welcoming and made me feel relaxed straight away,fear
i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,joy
i feel like i have been a bit obnoxious in my picture posting,anger
i feel morally outraged and furious more often than i d like,anger
i feel pissed my friend didnt offer me a soda,anger
i feel our hearts are treading dangerous territory,anger
i feel frightened by it all,fear
